Time, Used_Memory
21:52:15,66
21:52:16,67
21:52:17,68
21:52:17,69
21:52:18,70
21:52:19,71
21:52:20,72
21:52:20,73
21:52:21,74
21:52:22,75
21:52:22,76
21:52:23,77
21:52:24,78
21:52:24,79
21:52:25,80
21:52:26,81
21:52:27,82
21:52:27,82
21:52:28,83
21:52:29,84
21:52:29,85
21:52:30,86
21:52:31,87
21:52:32,88
21:52:32,89
21:52:33,90
21:52:34,91
21:52:34,92
21:52:35,93
21:52:36,94
21:52:37,95
21:52:37,96
21:52:38,97
21:52:39,98
21:52:39,99
21:52:40,100
21:52:41,101
21:52:42,102
21:52:42,103
21:52:43,103
21:52:44,104
21:52:44,105
21:52:45,106
21:52:46,107
21:52:46,108
21:52:47,109
21:52:48,110
21:52:49,111
21:52:49,112
21:52:50,113
21:52:51,114
21:52:51,115
21:52:52,116
21:52:53,117
21:52:54,118
21:52:54,119
21:52:55,120
21:52:56,121
21:52:56,122
21:52:57,123
21:52:58,124
21:52:59,124
21:52:59,125
21:53:00,126
21:53:01,127
21:53:01,128
21:53:02,129
21:53:03,130
21:53:03,131
21:53:04,132
21:53:05,133
21:53:06,134
21:53:06,135
21:53:07,136
21:53:08,137
21:53:08,138
21:53:09,139
21:53:10,140
21:53:11,141
21:53:11,142
21:53:12,143
21:53:13,144
21:53:13,144
21:53:14,145
21:53:15,146
21:53:16,147
21:53:16,148
21:53:17,149
21:53:18,150
21:53:18,151
21:53:19,152
21:53:20,153
21:53:21,154
21:53:21,155
21:53:22,156
21:53:23,157
21:53:23,158
21:53:24,159
21:53:25,160
21:53:25,161
21:53:26,162
21:53:27,163
21:53:28,164
21:53:28,165
21:53:29,165
21:53:30,166
21:53:30,167
21:53:31,168
21:53:32,169
21:53:33,170
21:53:33,171
21:53:34,172
21:53:35,173
21:53:35,174
21:53:36,175
21:53:37,176
21:53:38,177
21:53:38,178
21:53:39,179
21:53:40,180
21:53:40,181
21:53:41,182
21:53:42,183
21:53:43,184
21:53:43,185
21:53:44,186
21:53:45,186
21:53:45,187
21:53:46,188
21:53:47,189
21:53:48,190
21:53:48,191
21:53:49,192
21:53:50,193
21:53:50,194
21:53:51,195
21:53:52,196
21:53:52,197
21:53:53,198
21:53:54,199
21:53:55,200
21:53:55,201
21:53:56,202
21:53:57,203
21:53:57,204
21:53:58,205
21:53:59,206
21:54:00,207
21:54:00,207
21:54:01,208
21:54:02,209
21:54:02,210
21:54:03,211
21:54:04,212
21:54:05,213
21:54:05,214
21:54:06,215
21:54:07,216
21:54:07,217
21:54:08,218
21:54:09,219
21:54:10,220
21:54:10,221
21:54:11,222
21:54:12,223
21:54:12,224
21:54:13,225
21:54:14,226
21:54:15,227
21:54:15,227
21:54:16,228
21:54:17,229
21:54:17,230
21:54:18,231
21:54:19,232
21:54:20,233
21:54:20,234
21:54:21,235
21:54:22,236
21:54:22,237
21:54:23,238
21:54:24,239
21:54:24,240
21:54:25,241
21:54:26,242
21:54:27,243
21:54:27,244
21:54:28,245
21:54:29,246
21:54:29,247
21:54:30,248
21:54:31,248
21:54:32,249
21:54:32,250
21:54:33,251
21:54:34,252
21:54:34,253
21:54:35,254
21:54:36,255
21:54:37,256
21:54:37,257
21:54:38,258
21:54:39,259
21:54:39,260
21:54:40,261
21:54:41,262
21:54:42,263
21:54:42,264
21:54:43,265
21:54:44,266
21:54:44,267
21:54:45,268
21:54:46,269
21:54:47,269
21:54:47,270
21:54:48,271
21:54:49,272
21:54:49,273
21:54:50,274
21:54:51,275
21:54:52,276
21:54:52,277
21:54:53,278
21:54:54,279
21:54:54,280
21:54:55,281
21:54:56,282
21:54:56,283
21:54:57,284
21:54:58,285
21:54:59,286
21:54:59,287
21:55:00,288
21:55:01,289
21:55:01,289
