Time, Used_Memory
20:04:21,67
20:04:22,67
20:04:24,69
20:04:24,69
20:04:27,69
20:04:27,69
20:04:27,70
20:04:28,70
20:04:28,70
20:04:28,71
20:04:28,71
20:04:28,70
20:04:28,71
20:04:28,69
20:04:28,69
20:04:29,69
20:04:29,69
20:04:29,70
20:04:29,70
20:04:29,70
20:04:29,70
20:04:29,70
20:04:29,70
20:04:29,70
20:04:29,69
20:04:29,70
20:04:29,70
20:04:30,69
20:04:30,70
20:04:30,70
20:04:31,70
20:04:32,70
20:04:34,70
20:04:34,70
20:04:34,70
20:04:34,70
20:04:34,71
20:04:34,69
20:04:35,69
20:04:35,69
20:04:35,69
20:04:35,70
20:04:35,70
20:04:35,70
20:04:35,70
20:04:35,70
20:04:36,70
20:04:36,71
20:04:36,70
20:04:37,70
20:04:37,70
20:04:37,69
20:04:38,70
20:04:38,71
20:04:38,69
20:04:39,70
20:04:39,69
20:04:39,69
20:04:40,71
20:04:40,69
20:04:40,69
20:04:41,70
20:04:41,70
20:04:41,70
20:04:41,69
20:04:42,70
20:04:42,69
20:04:42,69
20:04:42,69
20:04:43,70
20:04:43,69
20:04:43,69
20:04:44,69
20:04:44,70
20:04:45,70
20:04:47,71
20:04:47,71
20:04:47,70
20:04:47,71
20:04:48,69
20:04:48,70
20:04:48,71
20:04:49,69
20:04:49,70
20:04:49,70
20:04:49,70
20:04:50,70
20:04:50,69
20:04:50,70
20:04:50,70
20:04:51,70
20:04:51,70
20:04:51,71
20:04:51,70
20:04:51,69
20:04:52,69
20:04:52,70
20:04:52,70
20:04:52,70
20:04:52,71
20:04:53,71
20:04:53,71
20:04:53,71
20:04:53,69
20:04:53,70
20:04:54,71
20:04:54,70
20:04:54,70
20:04:54,71
20:04:55,70
20:04:55,70
20:04:55,70
20:04:56,70
20:04:56,71
20:04:57,70
20:04:57,71
20:04:57,70
20:04:57,70
20:04:58,69
20:04:58,70
20:04:58,70
20:04:59,70
20:04:59,71
20:04:59,70
20:05:00,70
20:05:00,70
20:05:00,69
20:05:02,71
20:05:02,70
20:05:03,69
20:05:03,70
20:05:03,69
20:05:04,70
20:05:04,71
20:05:04,69
20:05:04,70
20:05:05,69
20:05:06,69
20:05:06,70
20:05:06,69
20:05:06,69
20:05:06,70
20:05:07,70
20:05:07,71
20:05:07,72
20:05:08,69
20:05:08,70
20:05:08,70
20:05:09,70
20:05:09,71
20:05:09,70
20:05:09,70
20:05:10,71
20:05:11,70
20:05:11,70
20:05:11,70
20:05:11,69
20:05:12,69
20:05:12,69
20:05:13,70
20:05:13,70
20:05:14,70
20:05:14,69
20:05:15,69
20:05:16,69
20:05:16,70
20:05:18,70
20:05:18,71
20:05:18,69
20:05:18,71
20:05:19,70
20:05:19,70
20:05:19,70
20:05:19,70
20:05:19,69
20:05:19,70
20:05:19,70
20:05:19,70
20:05:19,69
20:05:19,70
20:05:19,70
20:05:20,70
20:05:20,70
20:05:20,70
